,fecha,año,semana,estacion,contaminante,promedio_contaminante
395,2015-9,2015,9,41,ozono,16.160176991150443
396,2015-9,2015,9,46,pm10,85.2814371257485
397,2015-9,2015,9,6,no2,31.923566878980893
398,2015-9,2015,9,6,no,23.35031847133758
399,2015-9,2015,9,6,nox,55.23566878980892
400,2015-9,2015,9,6,pm10,61.91017964071856
401,2015-10,2015,10,25,no2,21.96273291925466
402,2015-10,2015,10,25,ozono,15.648809523809524
403,2015-10,2015,10,25,no,13.496894409937887
404,2015-10,2015,10,25,nox,35.4472049689441
405,2015-10,2015,10,12,pm25,51.96992481203007
406,2015-10,2015,10,48,pm25,64.69090909090909
407,2015-10,2015,10,41,ozono,17.673214285714284
408,2015-10,2015,10,46,pm10,77.48502994011976
409,2015-10,2015,10,6,no2,28.5
410,2015-10,2015,10,6,no,26.363636363636363
411,2015-10,2015,10,6,nox,54.83766233766234
412,2015-10,2015,10,6,pm10,51.53012048192771
413,2015-11,2015,11,25,no2,22.36904761904762
414,2015-11,2015,11,25,ozono,15.290909090909091
415,2015-11,2015,11,25,no,22.36904761904762
416,2015-11,2015,11,25,nox,44.75595238095238
417,2015-11,2015,11,12,pm25,61.76190476190476
418,2015-11,2015,11,48,pm25,70.76506024096386
419,2015-11,2015,11,41,ozono,13.298192771084334
420,2015-11,2015,11,46,pm10,84.61309523809524
421,2015-11,2015,11,6,no2,31.76073619631902
422,2015-11,2015,11,6,no,39.75460122699386
423,2015-11,2015,11,6,nox,71.49079754601227
424,2015-11,2015,11,6,pm10,62.453416149068325
425,2015-12,2015,12,25,no2,22.398809523809526
426,2015-12,2015,12,25,ozono,14.833333333333334
427,2015-12,2015,12,25,no,17.857142857142858
428,2015-12,2015,12,25,nox,40.291666666666664
429,2015-12,2015,12,12,pm25,65.73053892215569
430,2015-12,2015,12,48,pm25,69.92727272727272
431,2015-12,2015,12,41,ozono,16.426785714285707
432,2015-12,2015,12,46,pm10,81.95209580838323
433,2015-12,2015,12,6,no2,29.210843373493976
434,2015-12,2015,12,6,no,25.837349397590362
435,2015-12,2015,12,6,nox,55.096385542168676
436,2015-12,2015,12,6,pm10,59.587878787878786
437,2015-13,2015,13,25,no2,19.61904761904762
438,2015-13,2015,13,25,ozono,13.145454545454545
439,2015-13,2015,13,25,no,25.553571428571427
440,2015-13,2015,13,25,nox,45.17857142857143
441,2015-13,2015,13,12,pm25,49.76646706586826
442,2015-13,2015,13,48,pm25,49.493975903614455
443,2015-13,2015,13,41,ozono,14.064670658682624
444,2015-13,2015,13,46,pm10,65.58333333333333
445,2015-13,2015,13,6,no2,23.652694610778443
446,2015-13,2015,13,6,no,36.125748502994014
447,2015-13,2015,13,6,nox,59.76646706586826
448,2015-13,2015,13,6,pm10,42.1497005988024
449,2015-14,2015,14,25,no2,23.67153284671533
450,2015-14,2015,14,25,ozono,14.22754491017964
451,2015-14,2015,14,25,no,21.67153284671533
452,2015-14,2015,14,25,nox,45.394160583941606
453,2015-14,2015,14,12,pm25,45.74691358024691
454,2015-14,2015,14,48,pm25,59.26946107784431
455,2015-14,2015,14,41,ozono,15.270161290322582
456,2015-14,2015,14,46,pm10,70.38690476190476
457,2015-14,2015,14,6,no2,31.187878787878788
458,2015-14,2015,14,6,no,42.72727272727273
459,2015-14,2015,14,6,nox,73.95151515151515
460,2015-14,2015,14,6,pm10,44.03048780487805
461,2015-15,2015,15,25,no2,23.834355828220858
462,2015-15,2015,15,25,ozono,12.367469879518072
463,2015-15,2015,15,25,no,41.17791411042945
464,2015-15,2015,15,25,nox,65.14110429447852
465,2015-15,2015,15,12,pm25,49.464285714285715
466,2015-15,2015,15,48,pm25,59.52439024390244
467,2015-15,2015,15,41,ozono,13.388990825688072
468,2015-15,2015,15,46,pm10,74.64285714285714
469,2015-15,2015,15,6,no2,33.07831325301205
470,2015-15,2015,15,6,no,53.60843373493976
471,2015-15,2015,15,6,nox,86.8012048192771
472,2015-15,2015,15,6,pm10,49.963855421686745
473,2015-16,2015,16,25,no2,20.214285714285715
474,2015-16,2015,16,25,ozono,11.613095238095237
475,2015-16,2015,16,25,no,23.845238095238095
476,2015-16,2015,16,25,nox,44.148809523809526
477,2015-16,2015,16,12,pm25,39.71895424836601
478,2015-16,2015,16,48,pm25,59.14545454545455
479,2015-16,2015,16,41,ozono,13.105421686746984
480,2015-16,2015,16,46,pm10,61.55421686746988
481,2015-16,2015,16,6,no2,27.92814371257485
482,2015-16,2015,16,6,no,32.01197604790419
483,2015-16,2015,16,6,nox,59.880239520958085
484,2015-16,2015,16,6,pm10,41.137724550898206
485,2015-17,2015,17,25,no2,20.967532467532468
486,2015-17,2015,17,25,ozono,11.279220779220779
487,2015-17,2015,17,25,no,25.88961038961039
488,2015-17,2015,17,25,nox,46.88961038961039
489,2015-17,2015,17,12,pm25,38.34653465346535
490,2015-17,2015,17,48,pm25,52.46951219512195
491,2015-17,2015,17,41,ozono,14.506250000000001
492,2015-17,2015,17,46,pm10,61.892857142857146
493,2015-17,2015,17,6,no2,25.95808383233533
494,2015-17,2015,17,6,no,28.778443113772454
495,2015-17,2015,17,6,nox,54.73053892215569
496,2015-17,2015,17,6,pm10,38.50299401197605
497,2015-18,2015,18,25,no2,21.333333333333332
498,2015-18,2015,18,25,ozono,13.31547619047619
499,2015-18,2015,18,25,no,22.06547619047619
500,2015-18,2015,18,25,nox,43.42857142857143
501,2015-18,2015,18,12,pm25,36.126126126126124
502,2015-18,2015,18,48,pm25,54.33532934131737
503,2015-18,2015,18,41,ozono,16.66597222222222
504,2015-18,2015,18,46,pm10,65.61904761904762
505,2015-18,2015,18,6,no2,27.13855421686747
506,2015-18,2015,18,6,no,30.36144578313253
507,2015-18,2015,18,6,nox,57.45180722891566
508,2015-18,2015,18,6,pm10,37.21875
509,2015-19,2015,19,25,no2,19.520958083832337
510,2015-19,2015,19,25,ozono,11.548780487804878
511,2015-19,2015,19,25,no,22.48502994011976
512,2015-19,2015,19,25,nox,42.05988023952096
513,2015-19,2015,19,12,pm25,34.125748502994014
514,2015-19,2015,19,48,pm25,52.28169014084507
515,2015-19,2015,19,41,ozono,15.218666666666666
516,2015-19,2015,19,46,pm10,59.69064748201439
517,2015-19,2015,19,6,no2,23.44848484848485
518,2015-19,2015,19,6,no,22.412121212121214
519,2015-19,2015,19,6,nox,45.81818181818182
520,2015-20,2015,20,25,no2,16.696202531645568
521,2015-20,2015,20,25,ozono,11.41317365269461
522,2015-20,2015,20,25,no,19.879746835443036
523,2015-20,2015,20,25,nox,36.58227848101266
524,2015-20,2015,20,12,pm25,29.406451612903226
525,2015-20,2015,20,48,pm25,43.51234567901235
526,2015-20,2015,20,41,ozono,13.270059880239529
527,2015-20,2015,20,46,pm10,55.38095238095238
528,2015-20,2015,20,6,no2,23.077844311377245
529,2015-20,2015,20,6,no,31.50299401197605
530,2015-20,2015,20,6,nox,54.59880239520958
531,2015-21,2015,21,25,no2,21.8125
532,2015-21,2015,21,25,ozono,7.847222222222222
533,2015-21,2015,21,25,no,28.48611111111111
534,2015-21,2015,21,25,nox,50.46527777777778
535,2015-21,2015,21,12,pm25,44.02424242424242
536,2015-21,2015,21,48,pm25,61.26315789473684
537,2015-21,2015,21,41,ozono,9.935975609756103
538,2015-21,2015,21,46,pm10,68.42168674698796
539,2015-21,2015,21,6,no2,29.963414634146343
540,2015-21,2015,21,6,no,47.859756097560975
541,2015-21,2015,21,6,nox,77.76829268292683
542,2015-22,2015,22,25,no2,17.654761904761905
543,2015-22,2015,22,25,ozono,8.208333333333334
544,2015-22,2015,22,25,no,20.178571428571427
545,2015-22,2015,22,25,nox,37.80357142857143
